cluster_id,direcciones,conexiones,reportadas
1,2,1,0
2,2,1,0
3,2,2,0
4,2,1,0
5,3,2,0
6,2,1,0
7,3,2,0
8,2,1,0
9,3,2,0
10,2,1,0
11,3,2,0
12,2,1,0
13,2,1,0
14,2,1,0
15,3,2,0
16,2,1,0
17,2,1,0
18,2,2,0
19,17,17,0
20,2,1,0
21,2,2,0
22,2,1,0
23,3,3,0
24,8,1,0
25,2,1,0
26,3,2,0
27,3,2,0
28,3,2,0
29,3,2,0
30,3,2,0
31,3,2,0
32,3,2,0
33,4,2,0
34,3,2,0
35,3,2,0
36,6,1,0
37,2,2,0
38,4,2,0
39,4,2,0
40,3,2,0
41,2,1,0
42,3,1,0
43,8,1,0
44,3,2,0
45,3,2,0
46,3,2,0
47,3,2,0
48,3,2,0
49,3,2,0
50,3,2,0
51,2,2,0
52,26,26,0
53,3,2,0
54,2,1,0
55,2,1,0
56,3,2,0
57,3,2,0
58,3,2,0
59,3,2,0
60,4,2,0
61,2,2,0
62,3,2,0
63,2,2,0
64,2,2,0
65,2,2,0
66,2,2,0
67,2,2,0
68,3,2,0
69,4,2,0
70,3,2,0
71,2,2,0
72,3,2,0
73,2,2,0
74,2,2,0
75,2,2,0
76,3,2,0
77,3,2,0
78,3,2,0
79,3,2,0
80,3,1,0
81,3,1,0
82,4,2,0
83,5,1,0
84,2,1,0
85,375,664,0
86,2,1,0
87,3,2,0
88,5,2,0
89,3,2,0
90,4,2,0
91,3,1,0
92,2,1,0
93,2,1,0
94,2,1,0
95,2,2,0
96,3,2,0
97,3,2,0
98,3,2,0
99,3,2,0
100,3,2,0
101,3,2,0
102,3,2,0
103,3,2,0
104,3,2,0
105,3,2,0
106,3,2,0
107,3,2,0
108,3,2,0
109,4,2,0
110,15,16,0
111,44,1,0
112,22,1,0
113,13,16,0
114,15,16,0
115,8,1,0
116,16,16,0
117,5,2,0
118,3,2,0
119,16,16,0
120,14,16,0
121,16,16,0
122,13,16,0
123,4,1,0
124,6,6,0
125,4,2,0
126,9,1,0
127,6,1,0
128,12,13,0
129,4,4,0
130,4,2,0
131,16,16,0
132,4,1,0
133,16,16,0
134,5,2,0
135,2,2,0
136,4,2,0
137,2,2,0
138,2,1,0
139,3,1,0
140,5,4,0
141,5,2,0
142,120,149,0
143,113,2,0
144,2,2,0
145,4,2,0
146,2,1,0
147,4,2,0
148,103,101,0
149,3,1,0
150,14,16,0
151,11,11,0
152,11,11,0
153,3,2,0
154,11,11,0
155,11,11,0
156,5,1,0
157,11,11,0
158,2,1,0
159,11,11,0
160,7,11,0
161,10,11,0
162,3,2,0
163,8,11,0
164,9,11,0
165,3,1,0
166,8,11,0
167,3,2,0
168,2,2,0
169,2,1,0
170,4,2,0
171,17,17,0
172,28,27,0
173,5,2,0
174,3,2,0
175,4,2,0
176,4,1,0
177,4,2,0
178,4,2,0
179,4,2,0
180,4,2,0
181,3,2,0
182,3,2,0
183,3,2,0
184,3,2,0
185,3,2,0
186,3,2,0
187,2,1,0
188,5,2,0
189,4,3,0
190,4,2,0
191,3,2,0
192,2,2,0
193,79,2,0
194,3,2,0
195,256,255,0
196,2,2,0
197,2,2,0
198,2,2,0
199,3,2,0
200,6,6,0
201,10,10,0
202,8,8,0
203,3,3,0
204,15,15,0
205,2,2,0
206,4,2,0
207,4,4,0
208,17,17,0
209,15,15,0
210,3,2,0
211,16,16,0
212,15,15,0
213,15,15,0
214,11,11,0
215,6,6,0
216,4,4,0
217,10,10,0
218,5,2,0
219,2,2,0
220,12,12,0
221,8,8,0
222,3,2,0
223,2,1,0
224,3,2,0
225,4,2,0
226,4,2,0
227,5,2,0
228,172,175,0
229,3,2,0
230,3,1,0
231,4,2,0
232,2,1,0
233,264,504,0
234,5,2,0
235,3,2,0
236,6,2,0
237,4,2,0
238,6,4,0
239,5,1,0
240,8,8,0
241,5,2,0
242,3,2,0
243,4,2,0
244,5,2,0
245,3,2,0
246,3,2,0
247,6,1,0
248,375,253,0
249,3,2,0
250,3,2,0
251,6,2,0
252,798,465,0
253,3,1,0
254,4,1,0
255,3003,3001,0
256,3,1,0
257,3,1,0
258,2814,2813,0
259,3,1,0
260,3002,3001,0
261,3002,3001,0
262,3,1,0
263,5,1,0
264,3003,3001,0
265,2916,2908,0
266,3,2,0
267,3,3,0
268,2123,2121,0
269,3,2,0
270,3,1,0
271,1220,1218,0
272,1193,1192,0
273,55,2,0
274,610,609,0
275,37,2,0
276,5,2,0
277,3,2,0
278,4,1,0
279,3,2,0
280,2,2,0
281,3,2,0
282,2,2,0
283,4,2,0
284,2,2,0
285,2,1,0
286,3,2,0
287,3,2,0
288,3,2,0
289,4,2,0
290,4,2,0
291,3,2,0
292,4,2,0
293,3,2,0
294,5,2,0
295,3,2,0
296,4,2,0
297,3,2,0
298,8,1,0
299,2,2,0
300,6,1,0
301,2,2,0
302,5,1,0
303,2,2,0
304,4,1,0
305,2,2,0
306,4,1,0
307,2,2,0
308,5,1,0
309,2,2,0
310,6,1,0
311,3,2,0
312,5,1,0
313,4,2,0
314,4,1,0
315,3,2,0
316,4,2,0
317,3,2,0
318,6,1,0
319,3,2,0
320,3,1,0
321,2,2,0
322,4,2,0
323,4,2,0
324,3,2,0
325,4,2,0
326,5,2,0
327,5,2,0
328,3,2,0
329,4,2,0
330,3,2,0
331,4,2,0
332,100,99,0
333,5,2,0
334,102,101,0
335,3,2,0
336,5,2,0
337,68,66,0
338,65,64,0
339,4,2,0
340,5,3,0
341,3,2,0
342,8,7,0
343,2,1,0
344,3,2,0
345,3,2,0
346,3,2,0
347,3,2,0
348,3,2,0
349,4,2,0
350,3,2,0
351,4,2,0
352,4,2,0
353,3,2,0
354,3,2,0
355,7,1,0
356,18,18,0
357,3,1,0
358,7,7,0
359,4,1,0
360,24,24,0
361,4,1,0
362,16,16,0
363,4,1,0
364,19,19,0
365,4,1,0
366,16,16,0
367,4,1,0
368,24,24,0
369,3,1,0
370,3,2,0
371,3,2,0
372,2,2,0
373,3,2,0
374,2,2,0
375,3,2,0
376,20,19,0
377,23,22,0
378,3,2,0
379,3,2,0
380,2,2,0
381,2,2,0
382,3,2,0
383,2,2,0
384,4,2,0
385,3,2,0
386,4,2,0
387,3,2,0
388,3,2,0
389,4,2,0
390,3,2,0
391,31,2,0
392,8,1,0
393,2,1,0
394,3,2,0
395,3,2,0
396,3,2,0
397,5,2,0
398,3,2,0
399,3,2,0
400,3,2,0
401,3,2,0
402,3,2,0
403,18,17,0
404,4,2,0
405,3,2,0
406,4,2,0
407,3,2,0
408,5,2,0
409,3,2,0
410,3,1,0
411,3,2,0
412,4,2,0
413,3,2,0
414,4,2,0
415,4,2,0
416,4,2,0
417,5,2,0
418,3,2,0
419,3,2,0
420,3,2,0
421,3,2,0
422,3,2,0
423,3,2,0
424,3,2,0
425,4,2,0
426,3,2,0
427,3,2,0
428,3,2,0
429,242,2,0
430,4,2,0
431,48,2,0
432,163,2,0
433,4,2,0
434,2,2,0
435,272,2,0
436,106,2,0
437,3,1,0
438,4,2,0
439,22,21,0
440,3,2,0
441,5,2,0
442,56,55,0
443,2,2,0
444,3,2,0
445,4,2,0
446,3,2,0
447,3,2,0
448,8,1,0
449,14,12,0
450,5,2,0
451,2,1,0
452,3,1,0
453,3,2,0
454,40,2,0
455,4,2,0
456,9,2,0
457,105,2,0
458,51,2,0
459,4,1,0
460,2,2,0
461,2,2,0
462,2,2,0
463,2,2,0
464,2,2,0
465,2,2,0
466,2,2,0
467,12,2,0
468,4,2,0
469,5,2,0
470,4,2,0
471,5,2,0
472,5,2,0
473,3,1,0
474,62,2,0
475,18,2,0
476,6,2,0
477,3,2,0
478,161,2,0
479,141,2,0
480,122,2,0
481,74,2,0
482,55,2,0
483,21,2,0
484,67,2,0
485,3,1,0
486,3,1,0
487,29,2,0
488,9,2,0
489,3,1,0
490,3,2,0
491,3,1,0
492,2,1,0
493,73,2,0
494,5,1,0
495,5,2,0
496,121,194,0
497,3,1,0
498,5,2,0
499,146,233,0
500,4,2,0
501,4,2,0
502,15,16,0
503,16,16,0
504,2,2,0
505,2,2,0
506,5,2,0
507,6,6,0
508,3,1,0
509,5,1,0
510,90,135,0
511,5,2,0
512,2,2,0
513,2,2,0
514,2,2,0
515,2,1,0
516,3,1,0
517,5,2,0
518,4,2,0
519,2,1,0
520,3,1,0
521,2,2,0
522,61,60,0
523,2,1,0
524,479,722,0
525,482,482,0
526,3,2,0
527,55,53,0
528,5,2,0
529,69,68,0
530,4,2,0
531,101,100,0
532,3,1,0
533,4,2,0
534,28,27,0
535,4,2,0
536,102,99,0
537,3,2,0
538,2,1,0
539,2,1,0
540,3,2,0
541,3,1,0
542,3,1,0
543,5,2,0
544,4,2,0
545,2,1,0
546,3,2,0
547,2,1,0
548,3,1,0
549,5,2,0
550,3,2,0
551,2,2,0
552,2,2,0
553,2,1,0
554,2,2,0
555,3,1,0
556,21,2,0
557,5,2,0
558,4,2,0
559,5,2,0
560,5,2,0
561,3,2,0
562,4,2,0
563,2,1,0
564,84,16,0
565,2,1,0
566,2,1,0
567,91,84,0
568,103,100,0
569,2,1,0
570,39,7,0
571,2,1,0
572,34,34,0
573,2,1,0
574,2,2,0
575,2,1,0
576,2,2,0
577,2,1,0
578,3,2,0
579,3,2,0
580,4,2,0
581,23,20,0
582,3,1,0
583,27,19,0
584,5,2,0
585,26,21,0
586,3,1,0
587,4,2,0
588,18,13,0
589,4,2,0
590,29,16,0
591,5,2,0
592,12,8,0
593,2,1,0
594,4,2,0
595,46,9,0
596,3,1,0
597,27,11,0
598,4,1,0
599,29,25,0
600,17,12,0
601,3,2,0
602,124,2,0
603,5,2,0
604,2,1,0
605,2,1,0
606,3,2,0
607,31,30,0
608,3,2,0
609,2016,2013,0
610,3,1,0
611,330,330,0
612,3,1,0
613,5,2,0
614,316,283,0
615,4,2,0
616,40,20,0
617,4,2,0
618,1390,871,0
619,449,412,0
620,666,487,0
621,2,1,0
622,2,1,0
623,2,1,0
624,51,51,0
625,346,346,0
626,458,458,0
627,2,1,0
628,2,1,0
629,2,1,0
630,415,415,0
631,398,398,0
632,83,83,0
633,2,1,0
634,21,20,0
635,2,1,0
636,4,2,0
637,2,1,0
638,5,2,0
639,2,1,0
640,16,15,0
641,2,1,0
642,10,9,0
643,5,2,0
644,4,2,0
645,5,2,0
646,141,2,0
647,73,2,0
648,5,2,0
649,163,2,0
650,75,2,0
651,3,1,0
652,34,2,0
653,6,1,0
654,2,1,0
655,5,1,0
656,3,2,0
657,3,2,0
658,3,2,0
659,3,2,0
660,3,2,0
661,3,2,0
662,3,2,0
663,3,2,0
664,3,2,0
665,3,2,0
666,3,2,0
667,3,1,0
668,2,2,0
669,3,2,0
670,5,2,0
671,80,2,0
672,4,2,0
673,923,752,0
674,184,122,0
675,4,2,0
676,602,488,0
677,6,1,0
678,1027,682,0
679,3,1,0
680,422,284,0
681,249,181,0
682,696,410,0
683,5,2,0
684,301,301,0
685,3,1,0
686,425,357,0
687,5,2,0
688,450,450,0
689,472,472,0
690,60,2,0
691,3,1,0
692,161,2,0
693,80,2,0
694,14,2,0
695,8,3,0
696,14,16,0
697,15,16,0
698,14,16,0
699,14,16,0
700,4,2,0
701,15,16,0
702,3,1,0
703,11,11,0
704,7,7,0
705,2,2,0
706,3,2,0
707,5,2,0
708,3,1,0
709,3,1,0
710,290,2,0
711,8,2,0
712,2,2,0
713,3,1,0
714,3,1,0
715,2,2,0
716,3,1,0
717,2,2,0
718,2,2,0
719,3,1,0
720,2,2,0
721,3,2,0
722,3,2,0
723,3,2,0
724,3,2,0
725,3,1,0
726,3,2,0
727,3,2,0
728,4,2,0
729,3,2,0
730,4,2,0
731,3,1,0
732,3,2,0
733,2,1,0
734,4,2,0
735,3,2,0
736,5,2,0
737,2,1,0
738,3,2,0
739,2,1,0
740,3,2,0
741,2,1,0
742,3,2,0
743,2,1,0
744,3,2,0
745,2,1,0
746,4,2,0
747,2,1,0
748,3,2,0
749,2,1,0
750,3,2,0
751,4,2,0
752,5,5,0
753,2,2,0
754,2,1,0
755,2,2,0
756,2,1,0
757,4,4,0
758,2,1,0
759,10,10,0
760,2,1,0
761,2,2,0
762,2,1,0
763,2,2,0
764,2,1,0
765,16,15,0
766,4,2,0
767,292,292,0
768,484,484,0
769,3,1,0
770,2,1,0
771,323,323,0
772,2,1,0
773,448,448,0
774,2,1,0
775,365,365,0
776,2,1,0
777,341,341,0
778,366,366,0
779,2,1,0
780,314,314,0
781,2,1,0
782,442,349,0
783,2,1,0
784,406,335,0
785,2,1,0
786,187,150,0
787,2,1,0
788,2,2,0
789,478,478,0
790,4,2,0
791,3,2,0
792,5,2,0
793,4,2,0
794,3,2,0
795,5,2,0
796,8,7,0
797,565,58,0
798,12,11,0
799,5,2,0
800,3,2,0
801,3,2,0
802,49,49,0
803,5,2,0
804,2,2,0
805,3,2,0
806,9,8,0
807,5,2,0
808,5,2,0
809,3,2,0
810,3,2,0
811,3,2,0
812,3,2,0
813,3,2,0
814,3,1,0
815,40,20,0
816,951,580,0
817,5,2,0
818,3,2,0
819,2,1,0
820,3,1,0
821,3,2,0
822,4,2,0
823,5,2,0
824,5,2,0
825,10,1,0
826,4,2,0
827,3,2,0
828,6,1,0
829,3,1,0
830,14,13,0
831,6,1,0
832,5,1,0
833,2,2,0
834,994,1609,0
835,76,74,0
836,6,1,0
837,829,1330,0
838,1072,1647,0
839,48,27,0
840,3,1,0
841,3,1,0
842,2,1,0
843,2,1,0
844,3,1,0
845,5,2,0
846,4,2,0
847,147,2,0
848,5,2,0
849,3,1,0
850,99,99,0
851,411,359,0
852,451,425,0
853,1465,2395,0
854,22,20,0
855,4,2,0
856,3,2,0
857,3,2,0
858,2,2,0
859,4,2,0
860,2,1,0
861,5,2,0
862,2,1,0
863,3,2,0
864,2,2,0
865,11,2,0
866,2,2,0
867,36,2,0
868,3,2,0
869,2,2,0
870,2,2,0
871,2,2,0
872,3,1,0
873,2,2,0
874,5,2,0
875,2,2,0
876,2,2,0
877,2,2,0
878,5,2,0
879,3,2,0
880,27,2,0
881,45,2,0
882,166,2,0
883,4,1,0
884,14,2,0
885,201,2,0
886,4,1,0
887,4,2,0
888,3,2,0
889,3,2,0
890,3,1,0
891,3,2,0
892,3,2,0
893,3,2,0
894,3,2,0
895,3,2,0
896,3,2,0
897,3,2,0
898,3,2,0
899,6,1,0
900,3,2,0
901,3,2,0
902,3,1,0
903,1213,1213,0
904,1145,1143,0
905,3,1,0
906,1206,1203,0
907,3,1,0
908,3,1,0
909,1839,1838,0
910,422,422,0
911,3,1,0
912,1483,1481,0
913,985,985,0
914,5,2,0
915,21,20,0
916,2,1,0
917,5,2,0
918,442,442,0
919,411,411,0
920,474,474,0
921,4,2,0
922,268,267,0
923,4,2,0
924,313,309,0
925,611,607,0
926,3,2,0
927,260,258,0
928,5,2,0
929,200,199,0
930,4,2,0
931,324,322,0
932,3,1,0
933,43,2,0
934,4,1,0
935,2,1,0
936,2,1,0
937,386,386,0
938,2,1,0
939,5,1,0
940,3,1,0
941,237,301,0
942,118,2,0
943,262,300,0
944,169,200,0
945,53,2,0
946,167,197,0
947,3,1,0
948,85,101,0
949,5,2,0
950,7,2,0
951,13,2,0
952,3,2,0
953,22,2,0
954,90,2,0
955,3,1,0
956,4,2,0
957,15,2,0
958,2,1,0
959,12,2,0
960,3,1,0
961,5,2,0
962,4,1,0
963,164,161,0
964,4,2,0
965,76,74,0
966,5,2,0
967,2,1,0
968,2,1,0
969,486,486,0
970,94,2,0
971,3,1,0
972,3,2,0
973,44,2,0
974,39,2,0
975,3,1,0
976,13,2,0
977,63,2,0
978,28,2,0
979,3,1,0
980,102,2,0
981,18,2,0
982,148,2,0
983,5,2,0
984,3,2,0
985,3,1,0
986,3,1,0
987,5,2,0
988,5,2,0
989,6,1,0
990,5,1,0
991,383,276,0
992,901,595,0
993,3,1,0
994,443,443,0
995,2,1,0
996,955,492,0
997,2,1,0
998,369,166,0
999,2,1,0
1000,320,320,0
1001,4,2,0
1002,5,2,0
1003,3,1,0
1004,7,2,0
1005,3,1,0
1006,4,2,0
1007,3,1,0
1008,3,1,0
1009,461,396,0
1010,432,379,0
1011,113,77,0
1012,440,386,0
1013,3,2,0
1014,3,2,0
1015,3,2,0
1016,7,1,0
1017,452,395,0
1018,3,2,0
1019,3,1,0
1020,46,2,0
1021,42,2,0
1022,4,2,0
1023,3,1,0
1024,3,1,0
1025,3,1,0
1026,3,1,0
1027,3,1,0
1028,3,1,0
1029,5,2,0
1030,5,2,0
1031,1904,1902,0
1032,2318,2317,0
1033,1520,1519,0
1034,2369,2368,0
1035,1873,1872,0
1036,1846,1844,0
1037,1815,1813,0
1038,2365,2364,0
1039,609,608,0
1040,3,1,0
1041,3,1,0
1042,520,517,0
1043,419,418,0
1044,44,2,0
1045,5,2,0
1046,491,490,0
1047,336,334,0
1048,3,2,0
1049,3,2,0
1050,1286,755,0
1051,4,2,0
1052,1505,1504,0
1053,4,2,0
1054,2287,2286,0
1055,4,2,0
1056,2748,2747,0
1057,3,2,0
1058,582,581,0
1059,3,2,0
1060,223,223,0
1061,5,2,0
1062,3,2,0
1063,4,2,0
1064,232,230,0
1065,4,2,0
1066,250,249,0
1067,5,2,0
1068,242,241,0
1069,4,2,0
1070,218,216,0
1071,5,2,0
1072,250,249,0
1073,4,2,0
1074,146,145,0
1075,3,1,0
1076,4,2,0
1077,17,9,0
1078,609,608,0
1079,3,2,0
1080,18,13,0
1081,5,2,0
1082,21,18,0
1083,4,2,0
1084,4,2,0
1085,14,12,0
1086,3,2,0
1087,14,10,0
1088,3,2,0
1089,17,13,0
1090,5,2,0
1091,10,8,0
1092,3,2,0
1093,4,2,0
1094,23,14,0
1095,5,4,0
1096,4,2,0
1097,16,11,0
1098,4,2,0
1099,13,12,0
1100,4,2,0
1101,40,39,0
1102,4,2,0
1103,2,2,0
1104,3,1,0
1105,5,1,0
1106,508,423,0
1107,3,1,0
1108,2,1,0
1109,656,464,0
1110,212,192,0
1111,136,108,0
1112,129,111,0
1113,292,162,0
1114,4,2,0
1115,877,529,0
1116,5,2,0
1117,278,197,0
1118,4,2,0
1119,171,142,0
1120,4,2,0
1121,5,2,0
1122,3,1,0
1123,198,2,0
1124,3,1,0
1125,3,1,0
1126,5,1,0
1127,3,1,0
1128,19,19,0
1129,52,51,0
1130,5,1,0
1131,3,1,0
1132,5,1,0
1133,4,4,0
1134,30,29,0
1135,8,8,0
1136,52,51,0
1137,21,21,0
1138,3,1,0
1139,10,9,0
1140,4,2,0
1141,5,2,0
1142,3,2,0
1143,43,2,0
1144,5,2,0
1145,3,1,0
1146,3,1,0
1147,4,2,0
1148,3,1,0
1149,125,2,0
1150,76,2,0
1151,80,2,0
1152,29,2,0
1153,81,2,0
1154,49,2,0
1155,3,1,0
1156,60,79,0
1157,3,2,0
1158,135,135,0
1159,4,2,0
1160,4,2,0
1161,4,2,0
1162,4,2,0
1163,5,2,0
1164,20,2,0
1165,10,2,0
1166,5,2,0
1167,3,1,0
1168,11,2,0
1169,119,2,0
1170,174,2,0
1171,26,2,0
1172,3,1,0
1173,6,1,0
1174,3,2,0
1175,3,2,0
1176,4,2,0
1177,3,1,0
1178,3,1,0
1179,3,1,0
1180,6,1,0
1181,4,1,0
1182,3,1,0
1183,79,2,0
1184,11,2,0
1185,3,1,0
1186,42,2,0
1187,5,2,0
1188,33,2,0
1189,3,1,0
1190,3,1,0
1191,3,1,0
1192,435,358,0
1193,464,446,0
1194,488,488,0
1195,2,1,0
1196,431,431,0
1197,2,1,0
1198,2,1,0
1199,85,85,0
1200,376,376,0
1201,2,1,0
1202,398,377,0
1203,2,1,0
1204,414,404,0
1205,2,1,0
1206,440,317,0
1207,2,1,0
1208,368,307,0
1209,2,1,0
1210,442,288,0
1211,2,1,0
1212,411,370,0
1213,2,1,0
1214,445,276,0
1215,2,1,0
1216,653,501,0
1217,2,1,0
1218,4,2,0
1219,2,1,0
1220,4,2,0
1221,6,5,0
1222,4,2,0
1223,9,2,0
1224,4,2,0
1225,3,2,0
1226,3,2,0
1227,4,2,0
1228,5,2,0
1229,2,1,0
1230,4,2,0
1231,2,1,0
1232,3,2,0
1233,3,2,0
1234,3,2,0
1235,6,2,0
1236,3,2,0
1237,2,1,0
1238,3,2,0
1239,5,2,0
1240,3,2,0
1241,2,2,0
1242,2,1,0
1243,2,1,0
1244,26,26,0
1245,2,1,0
1246,26,26,0
1247,2,1,0
1248,26,26,0
1249,2,1,0
1250,17,17,0
1251,2,1,0
1252,26,26,0
1253,2,1,0
1254,26,26,0
1255,5,2,0
1256,34,33,0
1257,4,2,0
1258,549,548,0
1259,43,42,0
1260,3,1,0
1261,7,6,0
1262,3,1,0
1263,2270,2268,0
1264,3,1,0
1265,1373,1372,0
1266,483,483,0
1267,174,2,0
1268,3,1,0
1269,5,2,0
1270,3,2,0
1271,18,2,0
1272,3,1,0
1273,3,1,0
1274,5,2,0
1275,47,46,0
1276,3,2,0
1277,3,2,0
1278,3,1,0
1279,26,25,0
1280,3,1,0
1281,5,2,0
1282,3,1,0
1283,14,13,0
1284,5,2,0
1285,9,4,0
1286,4,2,0
1287,6,5,0
1288,3,2,0
1289,2,1,0
1290,4,2,0
1291,4,2,0
1292,3,1,0
1293,7,2,0
1294,11,2,0
1295,3,1,0
1296,3,1,0
1297,3,1,0
1298,3,2,0
1299,3,1,0
1300,3,2,0
1301,3,2,0
1302,3,2,0
1303,3,2,0
1304,3,2,0
1305,5,2,0
1306,4,2,0
1307,3,2,0
1308,3,2,0
1309,3,2,0
1310,3,2,0
1311,3,1,0
1312,3,2,0
1313,3,2,0
1314,3,2,0
1315,3,1,0
1316,1078,1074,0
1317,3,2,0
1318,4,2,0
1319,4,2,0
1320,45,2,0
1321,13,2,0
1322,5,2,0
1323,4,2,0
1324,5,2,0
1325,5,2,0
1326,4,2,0
1327,3,2,0
1328,3,2,0
1329,4,2,0
1330,3,1,0
1331,3,2,0
1332,3,1,0
1333,3,1,0
1334,4,2,0
1335,3,1,0
1336,4,2,0
1337,3,2,0
1338,5,2,0
1339,3,1,0
1340,3,2,0
1341,4,2,0
1342,3,1,0
1343,25,2,0
1344,119,152,0
1345,103,147,0
1346,5,2,0
1347,111,149,0
1348,2,2,0
1349,3,2,0
1350,3,1,0
1351,4,2,0
1352,5,2,0
1353,19,2,0
1354,112,2,0
1355,138,2,0
1356,4,2,0
1357,11,2,0
1358,4,2,0
1359,48,2,0
1360,5,1,0
1361,4,2,0
1362,32,31,0
1363,4,3,0
1364,13,12,0
1365,5,1,0
1366,3,2,0
1367,5,2,0
1368,3,2,0
1369,3,2,0
1370,3,2,0
1371,3,2,0
1372,2,2,0
1373,3,1,0
1374,3,1,0
1375,74,73,0
1376,16,16,0
1377,7,6,0
1378,4,2,0
1379,4,2,0
1380,104,101,0
1381,107,99,0
1382,5,2,0
1383,4,1,0
1384,4,2,0
1385,102,101,0
1386,3,2,0
1387,80,79,0
1388,4,2,0
1389,102,100,0
1390,4,2,0
1391,58,57,0
1392,4,2,0
1393,12,11,0
1394,4,2,0
1395,54,53,0
1396,4,2,0
1397,87,86,0
1398,5,2,0
1399,17,16,0
1400,2,2,0
1401,5,2,0
1402,7,2,0
1403,3,1,0
1404,60,57,0
1405,611,610,0
1406,3,2,0
1407,2,1,0
1408,82,70,0
1409,3,1,0
1410,54,2,0
1411,3,2,0
1412,3,2,0
1413,3,2,0
1414,39,38,0
1415,5,2,0
1416,3,1,0
1417,334,652,0
1418,5,2,0
1419,3,1,0
1420,3,1,0
1421,209,345,0
1422,3,1,0
1423,461,461,0
1424,3,1,0
1425,5,2,0
1426,3,2,0
1427,172,2,0
1428,5,2,0
1429,42,41,0
1430,13,2,0
1431,3,2,0
1432,3,2,0
1433,4,2,0
1434,2,1,0
1435,3,2,0
1436,2,1,0
1437,3,2,0
1438,4,2,0
1439,4,2,0
1440,4,1,0
1441,6,1,0
1442,4,1,0
